foxcroft|Thu Jan 30 11:43:58 2020|1658975631821485:The Prof|0|64|34|30|103 |bitNor:1:1:2:3 |bitAnd:1:1:2:4 |tmin:1:1:2:1 |thirdBits:1:1:2:4 |isEqual:2:2:2:2 |byteSwap:2:2:2:17 |oddBits:2:2:2:4 |floatNegate:2:2:2:5 |sign:2:2:2:4 |isAsciiDigit:3:3:2:7 |logicalShift:3:3:2:14 |addOK:3:3:2:9 |bitMask:3:3:2:8 |logicalNeg:4:4:2:6 |floatScale2:4:4:2:15
dover|Fri Jan 31 10:51:10 2020|2802808643607609:Butter Chicken|0|6|2|4|7 |bitNor:1:1:2:3 |bitAnd:1:1:2:4 |tmin:0:1:0:0 |thirdBits:0:1:0:0 |isEqual:0:2:0:0 |byteSwap:0:2:0:0 |oddBits:0:2:0:0 |floatNegate:0:2:0:0 |sign:0:2:0:0 |isAsciiDigit:0:3:0:0 |logicalShift:0:3:0:0 |addOK:0:3:0:0 |bitMask:0:3:0:0 |logicalNeg:0:4:0:0 |floatScale2:0:4:0:0
dover|Sat Feb  1 12:04:30 2020|2802808643607609:Butter Chicken|0|17|7|10|18 |bitNor:1:1:2:3 |bitAnd:1:1:2:4 |tmin:1:1:2:1 |thirdBits:0:1:0:0 |isEqual:2:2:2:4 |byteSwap:0:2:0:2 |oddBits:2:2:2:4 |floatNegate:0:2:0:0 |sign:0:2:0:0 |isAsciiDigit:0:3:0:0 |logicalShift:0:3:0:0 |addOK:0:3:0:0 |bitMask:0:3:0:0 |logicalNeg:0:4:0:0 |floatScale2:0:4:0:0
dover|Sat Feb  1 13:16:16 2020|2802808643607609:butter chicken|0|20|8|12|22 |bitNor:1:1:2:3 |bitAnd:1:1:2:4 |tmin:1:1:2:1 |thirdBits:1:1:2:4 |isEqual:2:2:2:4 |byteSwap:0:2:0:2 |oddBits:2:2:2:4 |floatNegate:0:2:0:0 |sign:0:2:0:0 |isAsciiDigit:0:3:0:0 |logicalShift:0:3:0:0 |addOK:0:3:0:0 |bitMask:0:3:0:0 |logicalNeg:0:4:0:0 |floatScale2:0:4:0:0
dover|Sat Feb  1 14:00:24 2020|2802808643607609:butter chicken|0|20|8|12|18 |bitNor:1:1:2:3 |bitAnd:1:1:2:4 |tmin:1:1:2:1 |thirdBits:1:1:2:4 |isEqual:2:2:2:2 |byteSwap:0:2:0:0 |oddBits:2:2:2:4 |floatNegate:0:2:0:0 |sign:0:2:0:0 |isAsciiDigit:0:3:0:0 |logicalShift:0:3:0:0 |addOK:0:3:0:0 |bitMask:0:3:0:0 |logicalNeg:0:4:0:0 |floatScale2:0:4:0:0
dover|Mon Feb  3 08:44:06 2020|1443310620061284:Steve Jobs|0|0|0|0|0 |bitNor:0:1:0:0 |bitAnd:0:1:0:0 |tmin:0:1:0:0 |thirdBits:0:1:0:0 |isEqual:0:2:0:0 |byteSwap:0:2:0:0 |oddBits:0:2:0:0 |floatNegate:0:2:0:0 |sign:0:2:0:0 |isAsciiDigit:0:3:0:0 |logicalShift:0:3:0:0 |addOK:0:3:0:0 |bitMask:0:3:0:0 |logicalNeg:0:4:0:0 |floatScale2:0:4:0:0
dover|Mon Feb  3 08:56:38 2020|1443310620061284:Steve Jobs|0|3|1|2|3 |bitNor:1:1:2:3 |bitAnd:0:1:0:0 |tmin:0:1:0:0 |thirdBits:0:1:0:0 |isEqual:0:2:0:0 |byteSwap:0:2:0:0 |oddBits:0:2:0:0 |floatNegate:0:2:0:0 |sign:0:2:0:0 |isAsciiDigit:0:3:0:0 |logicalShift:0:3:0:0 |addOK:0:3:0:0 |bitMask:0:3:0:0 |logicalNeg:0:4:0:0 |floatScale2:0:4:0:0
dover|Mon Feb  3 09:39:55 2020|1443310620061284:Steve Jobs|0|6|2|4|8 |bitNor:1:1:2:3 |bitAnd:1:1:2:4 |tmin:0:1:0:1 |thirdBits:0:1:0:0 |isEqual:0:2:0:0 |byteSwap:0:2:0:0 |oddBits:0:2:0:0 |floatNegate:0:2:0:0 |sign:0:2:0:0 |isAsciiDigit:0:3:0:0 |logicalShift:0:3:0:0 |addOK:0:3:0:0 |bitMask:0:3:0:0 |logicalNeg:0:4:0:0 |floatScale2:0:4:0:0
dover|Tue Feb  4 19:12:50 2020|9536458672467547:DudeMediocre|0|20|8|12|18 |bitNor:1:1:2:3 |bitAnd:1:1:2:4 |tmin:1:1:2:1 |thirdBits:1:1:2:4 |isEqual:2:2:2:2 |byteSwap:0:2:0:0 |oddBits:2:2:2:4 |floatNegate:0:2:0:0 |sign:0:2:0:0 |isAsciiDigit:0:3:0:0 |logicalShift:0:3:0:0 |addOK:0:3:0:0 |bitMask:0:3:0:0 |logicalNeg:0:4:0:0 |floatScale2:0:4:0:0
dover|Wed Feb  5 17:13:04 2020|9536458672467547:DudeMediocre|0|20|8|12|22 |bitNor:1:1:2:3 |bitAnd:1:1:2:4 |tmin:1:1:2:1 |thirdBits:1:1:2:4 |isEqual:2:2:2:2 |byteSwap:0:2:0:0 |oddBits:2:2:2:4 |floatNegate:0:2:0:0 |sign:0:2:0:4 |isAsciiDigit:0:3:0:0 |logicalShift:0:3:0:0 |addOK:0:3:0:0 |bitMask:0:3:0:0 |logicalNeg:0:4:0:0 |floatScale2:0:4:0:0
dover|Wed Feb  5 22:56:37 2020|2802808643607609:Bruce's Banner|0|24|10|14|26 |bitNor:1:1:2:3 |bitAnd:1:1:2:4 |tmin:1:1:2:1 |thirdBits:1:1:2:4 |isEqual:2:2:2:2 |byteSwap:0:2:0:0 |oddBits:2:2:2:4 |floatNegate:0:2:0:0 |sign:2:2:2:4 |isAsciiDigit:0:3:0:0 |logicalShift:0:3:0:0 |addOK:0:3:0:0 |bitMask:0:3:0:0 |logicalNeg:0:4:0:4 |floatScale2:0:4:0:0
dover|Wed Feb  5 23:28:36 2020|2802808643607609:Bruce's Banner|0|30|14|16|27 |bitNor:1:1:2:3 |bitAnd:1:1:2:4 |tmin:1:1:2:1 |thirdBits:1:1:2:4 |isEqual:2:2:2:2 |byteSwap:0:2:0:0 |oddBits:2:2:2:4 |floatNegate:0:2:0:0 |sign:2:2:2:4 |isAsciiDigit:0:3:0:0 |logicalShift:0:3:0:0 |addOK:0:3:0:0 |bitMask:0:3:0:0 |logicalNeg:4:4:2:5 |floatScale2:0:4:0:0
dover|Thu Feb  6 20:44:01 2020|1443310620061284:Steve Jobs|0|12|4|8|17 |bitNor:1:1:2:3 |bitAnd:1:1:2:4 |tmin:1:1:2:1 |thirdBits:1:1:2:6 |isEqual:0:2:0:3 |byteSwap:0:2:0:0 |oddBits:0:2:0:0 |floatNegate:0:2:0:0 |sign:0:2:0:0 |isAsciiDigit:0:3:0:0 |logicalShift:0:3:0:0 |addOK:0:3:0:0 |bitMask:0:3:0:0 |logicalNeg:0:4:0:0 |floatScale2:0:4:0:0
dover|Thu Feb  6 23:21:28 2020|2950535602960844:Tony Stark|0|16|6|10|16 |bitNor:1:1:2:3 |bitAnd:1:1:2:4 |tmin:1:1:2:1 |thirdBits:1:1:2:4 |isEqual:0:2:0:0 |byteSwap:0:2:0:0 |oddBits:2:2:2:4 |floatNegate:0:2:0:0 |sign:0:2:0:0 |isAsciiDigit:0:3:0:0 |logicalShift:0:3:0:0 |addOK:0:3:0:0 |bitMask:0:3:0:0 |logicalNeg:0:4:0:0 |floatScale2:0:4:0:0
dover|Thu Feb  6 23:33:52 2020|2802808643607609:Bruce's Banner|0|34|16|18|41 |bitNor:1:1:2:3 |bitAnd:1:1:2:4 |tmin:1:1:2:1 |thirdBits:1:1:2:4 |isEqual:2:2:2:2 |byteSwap:2:2:2:14 |oddBits:2:2:2:4 |floatNegate:0:2:0:0 |sign:2:2:2:4 |isAsciiDigit:0:3:0:0 |logicalShift:0:3:0:0 |addOK:0:3:0:0 |bitMask:0:3:0:0 |logicalNeg:4:4:2:5 |floatScale2:0:4:0:0
