houser-2015.campus.bowdoin.edu|Thu Sep 12 22:24:10 2019|bitrecord:Record Holder|0|60|30|30|93 |maxVal:1:1:2:2 |negCheck:1:1:2:2 |lsbCopy:1:1:2:2 |andBits:1:1:2:4 |xorBits:1:1:2:7 |setThirdBits:2:2:2:4 |byteExtract:2:2:2:3 |bitFit:2:2:2:6 |byteSwitch:2:2:2:17 |addOverflow:3:3:2:9 |shiftLogical:3:3:2:6 |not:3:3:2:6 |signMagnitude:3:3:2:6 |fp_abs:2:2:2:4 |fp_twice:3:3:2:15
houser-2015.campus.bowdoin.edu|Sun Sep 15 11:33:24 2019|hxu:houser|0|0|0|0|3 |maxVal:0:1:0:0 |negCheck:0:1:0:3 |lsbCopy:0:1:0:0 |andBits:0:1:0:0 |xorBits:0:1:0:0 |setThirdBits:0:2:0:0 |byteExtract:0:2:0:0 |bitFit:0:2:0:0 |byteSwitch:0:2:0:0 |addOverflow:0:3:0:0 |shiftLogical:0:3:0:0 |not:0:3:0:0 |signMagnitude:0:3:0:0 |fp_abs:0:2:0:0 |fp_twice:0:3:0:0
houser-2015.campus.bowdoin.edu|Sun Sep 15 11:40:30 2019|hxu:1 point wonder|0|3|1|2|2 |maxVal:0:1:0:0 |negCheck:1:1:2:2 |lsbCopy:0:1:0:0 |andBits:0:1:0:0 |xorBits:0:1:0:0 |setThirdBits:0:2:0:0 |byteExtract:0:2:0:0 |bitFit:0:2:0:0 |byteSwitch:0:2:0:0 |addOverflow:0:3:0:0 |shiftLogical:0:3:0:0 |not:0:3:0:0 |signMagnitude:0:3:0:0 |fp_abs:0:2:0:0 |fp_twice:0:3:0:0
houser-2015.campus.bowdoin.edu|Sun Sep 15 11:58:17 2019|hxu:OVER 9000 THOUSANDS|0|9|3|6|8 |maxVal:0:1:0:0 |negCheck:1:1:2:2 |lsbCopy:1:1:2:2 |andBits:1:1:2:4 |xorBits:0:1:0:0 |setThirdBits:0:2:0:0 |byteExtract:0:2:0:0 |bitFit:0:2:0:0 |byteSwitch:0:2:0:0 |addOverflow:0:3:0:0 |shiftLogical:0:3:0:0 |not:0:3:0:0 |signMagnitude:0:3:0:0 |fp_abs:0:2:0:0 |fp_twice:0:3:0:0
houser-2015.campus.bowdoin.edu|Sun Sep 15 12:16:56 2019|hxu:techhub|0|12|4|8|15 |maxVal:0:1:0:0 |negCheck:1:1:2:2 |lsbCopy:1:1:2:2 |andBits:1:1:2:4 |xorBits:1:1:2:7 |setThirdBits:0:2:0:0 |byteExtract:0:2:0:0 |bitFit:0:2:0:0 |byteSwitch:0:2:0:0 |addOverflow:0:3:0:0 |shiftLogical:0:3:0:0 |not:0:3:0:0 |signMagnitude:0:3:0:0 |fp_abs:0:2:0:0 |fp_twice:0:3:0:0
houser-2015.campus.bowdoin.edu|Sun Sep 15 16:08:06 2019|lfriel:jane doe|0|15|5|10|17 |maxVal:1:1:2:2 |negCheck:1:1:2:2 |lsbCopy:1:1:2:2 |andBits:1:1:2:4 |xorBits:1:1:2:7 |setThirdBits:0:2:0:0 |byteExtract:0:2:0:0 |bitFit:0:2:0:0 |byteSwitch:0:2:0:0 |addOverflow:0:3:0:0 |shiftLogical:0:3:0:0 |not:0:3:0:0 |signMagnitude:0:3:0:0 |fp_abs:0:2:0:0 |fp_twice:0:3:0:0
houser-2015.campus.bowdoin.edu|Mon Sep 16 13:24:52 2019|yxi:John Doe|0|15|5|10|20 |maxVal:1:1:2:2 |negCheck:1:1:2:3 |lsbCopy:1:1:2:3 |andBits:1:1:2:4 |xorBits:1:1:2:8 |setThirdBits:0:2:0:0 |byteExtract:0:2:0:0 |bitFit:0:2:0:0 |byteSwitch:0:2:0:0 |addOverflow:0:3:0:0 |shiftLogical:0:3:0:0 |not:0:3:0:0 |signMagnitude:0:3:0:0 |fp_abs:0:2:0:0 |fp_twice:0:3:0:0
houser-2015.campus.bowdoin.edu|Mon Sep 16 13:53:51 2019|yxi:John Doe|0|15|5|10|18 |maxVal:1:1:2:2 |negCheck:1:1:2:2 |lsbCopy:1:1:2:2 |andBits:1:1:2:4 |xorBits:1:1:2:8 |setThirdBits:0:2:0:0 |byteExtract:0:2:0:0 |bitFit:0:2:0:0 |byteSwitch:0:2:0:0 |addOverflow:0:3:0:0 |shiftLogical:0:3:0:0 |not:0:3:0:0 |signMagnitude:0:3:0:0 |fp_abs:0:2:0:0 |fp_twice:0:3:0:0
houser-2015.campus.bowdoin.edu|Mon Sep 16 14:23:04 2019|yxi:John Doe|0|15|5|10|17 |maxVal:1:1:2:2 |negCheck:1:1:2:2 |lsbCopy:1:1:2:2 |andBits:1:1:2:4 |xorBits:1:1:2:7 |setThirdBits:0:2:0:0 |byteExtract:0:2:0:0 |bitFit:0:2:0:0 |byteSwitch:0:2:0:0 |addOverflow:0:3:0:0 |shiftLogical:0:3:0:0 |not:0:3:0:0 |signMagnitude:0:3:0:0 |fp_abs:0:2:0:0 |fp_twice:0:3:0:0
houser-2015.campus.bowdoin.edu|Mon Sep 16 19:51:26 2019|yxi:John Doe|0|19|7|12|23 |maxVal:1:1:2:2 |negCheck:1:1:2:2 |lsbCopy:1:1:2:2 |andBits:1:1:2:4 |xorBits:1:1:2:7 |setThirdBits:2:2:2:6 |byteExtract:0:2:0:0 |bitFit:0:2:0:0 |byteSwitch:0:2:0:0 |addOverflow:0:3:0:0 |shiftLogical:0:3:0:0 |not:0:3:0:0 |signMagnitude:0:3:0:0 |fp_abs:0:2:0:0 |fp_twice:0:3:0:0
houser-2015.campus.bowdoin.edu|Mon Sep 16 20:36:53 2019|yxi:John Doe|0|19|7|12|21 |maxVal:1:1:2:2 |negCheck:1:1:2:2 |lsbCopy:1:1:2:2 |andBits:1:1:2:4 |xorBits:1:1:2:7 |setThirdBits:2:2:2:4 |byteExtract:0:2:0:0 |bitFit:0:2:0:0 |byteSwitch:0:2:0:0 |addOverflow:0:3:0:0 |shiftLogical:0:3:0:0 |not:0:3:0:0 |signMagnitude:0:3:0:0 |fp_abs:0:2:0:0 |fp_twice:0:3:0:0
